Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Sweeping	2.060663e+01	2.204857e-01	-1.140622e-04
Sweeping	2.069490e+01	2.159920e-01	-1.137750e-04
Sweeping	2.078224e+01	2.115402e-01	-1.141493e-04
Sweeping	2.087030e+01	2.071762e-01	-1.142653e-04
Sweeping	2.095881e+01	2.028046e-01	-1.141210e-04
Sweeping	2.104647e+01	1.985245e-01	-1.139514e-04
Sweeping	2.113422e+01	1.940422e-01	-1.140195e-04
Sweeping	2.122259e+01	1.896057e-01	-1.142430e-04
Sweeping	2.131085e+01	1.852074e-01	-1.142536e-04
Sweeping	2.139805e+01	1.807823e-01	-1.147401e-04
Sweeping	2.148625e+01	1.765366e-01	-1.143197e-04
Sweeping	2.157445e+01	1.721878e-01	-1.139708e-04
Sweeping	2.166241e+01	1.676025e-01	-1.146829e-04
Sweeping	2.174989e+01	1.632423e-01	-1.144180e-04
Sweeping	2.183833e+01	1.590309e-01	-1.142083e-04
Sweeping	2.192634e+01	1.543465e-01	-1.142468e-04
Sweeping	2.201486e+01	1.499863e-01	-1.145436e-04
Sweeping	2.210224e+01	1.456718e-01	-1.145179e-04
Sweeping	2.219043e+01	1.413307e-01	-1.143162e-04
Sweeping	2.227835e+01	1.367989e-01	-1.148802e-04
Sweeping	2.236598e+01	1.323624e-01	-1.147451e-04
Sweeping	2.245414e+01	1.280556e-01	-1.147614e-04
Sweeping	2.254279e+01	1.236458e-01	-1.147741e-04
Sweeping	2.263000e+01	1.191978e-01	-1.142911e-04
Sweeping	2.271844e+01	1.146698e-01	-1.155804e-04
Sweeping	2.280603e+01	1.105042e-01	-1.148311e-04
Sweeping	2.289420e+01	1.060066e-01	-1.150447e-04
Sweeping	2.298192e+01	1.016769e-01	-1.147399e-04
Sweeping	2.307066e+01	9.731674e-02	-1.152031e-04
Sweeping	2.315848e+01	9.284973e-02	-1.150044e-04
Sweeping	2.324648e+01	8.849716e-02	-1.152109e-04
Sweeping	2.333460e+01	8.412933e-02	-1.146259e-04
Sweeping	2.342223e+01	7.974243e-02	-1.151364e-04
Sweeping	2.351050e+01	7.527161e-02	-1.150980e-04
Sweeping	2.359853e+01	7.088089e-02	-1.149908e-04
Sweeping	2.368611e+01	6.644058e-02	-1.152261e-04
Sweeping	2.377462e+01	6.203079e-02	-1.149404e-04
Sweeping	2.386205e+01	5.757523e-02	-1.152906e-04
Sweeping	2.394995e+01	5.324173e-02	-1.148218e-04
Sweeping	2.403801e+01	4.892731e-02	-1.151981e-04
Sweeping	2.412616e+01	4.452896e-02	-1.151749e-04
Sweeping	2.421412e+01	4.021072e-02	-1.149881e-04
Sweeping	2.430208e+01	3.572083e-02	-1.152436e-04
Sweeping	2.439074e+01	3.132629e-02	-1.151148e-04
Sweeping	2.447802e+01	2.700806e-02	-1.149532e-04
Sweeping	2.456663e+01	2.252960e-02	-1.152376e-04
Sweeping	2.465486e+01	1.810074e-02	-1.154445e-04
Sweeping	2.474285e+01	1.370239e-02	-1.152227e-04
Sweeping	2.483032e+01	9.296417e-03	-1.155454e-04
